1,AALI,Astra Agro Lestari Tbk.,1.924.688.333,Utama
2,ABBA,Mahaka Media Tbk.,3.935.892.857,Pemantauan Khusus
3,ABDA,Asuransi Bina Dana Arta Tbk.,620.806.680,Pemantauan Khusus
4,ABMM,ABM Investama Tbk.,2.753.165.000,Utama
5,ACES,Aspirasi Hidup Indonesia Tbk.,17.120.389.700,Utama
6,ACST,Acset Indonusa Tbk.,12.675.160.000,Pengembangan
7,ADES,Akasha Wira International Tbk.,589.896.800,Pengembangan
8,ADHI,Adhi Karya (Persero) Tbk.,8.407.608.979,Utama
9,ADMF,Adira Dinamika Multi Finance T,1.000.000.000,Pengembangan
10,ADMG,Polychem Indonesia Tbk,3.889.179.559,Pengembangan
11,ADRO,Alamtri Resources Indonesia Tb,30.758.665.900,Utama
12,AGII,Samator Indo Gas Tbk.,3.066.660.000,Pengembangan
13,AGRO,Bank Raya Indonesia Tbk.,24.493.093.216,Utama
14,AGRS,Bank IBK Indonesia Tbk.,47.367.057.874,Pengembangan
15,AHAP,Asuransi Harta Aman Pratama Tb,4.900.000.000,Pengembangan
16,AIMS,Artha Mahiya Investama Tbk.,220.000.000,Pengembangan
17,AISA,FKS Food Sejahtera Tbk.,9.311.800.000,Utama
18,AKKU,Anugerah Kagum Karya Utama Tbk,6.449.463.636,Pemantauan Khusus
19,AKPI,Argha Karya Prima Industry Tbk,612.248.000,Pengembangan
20,AKRA,AKR Corporindo Tbk.,20.073.474.600,Utama
21,AKSI,Mineral Sumberdaya Mandiri Tbk,720.000.000,Pengembangan
22,ALDO,Alkindo Naratama Tbk.,2.700.713.744,Pengembangan
23,ALKA,Alakasa Industrindo Tbk,507.665.055,Pengembangan
24,ALMI,Alumindo Light Metal Industry ,3.816.000.000,Pemantauan Khusus
25,ALTO,Tri Banyan Tirta Tbk.,2.191.870.558,Pemantauan Khusus
26,AMAG,Asuransi Multi Artha Guna Tbk.,5.001.552.516,Pengembangan
27,AMFG,Asahimas Flat Glass Tbk.,434.000.000,Utama
28,AMIN,Ateliers Mecaniques D Indonesi,1.080.000.000,Pengembangan
29,AMRT,Sumber Alfaria Trijaya Tbk.,41.524.501.700,Utama
30,ANJT,Austindo Nusantara Jaya Tbk.,3.354.175.000,Pengembangan
31,ANTM,Aneka Tambang Tbk.,24.030.764.725,Utama
32,APEX,Apexindo Pratama Duta Tbk.,3.546.466.661,Pengembangan
33,APIC,Pacific Strategic Financial Tb,11.766.313.488,Pengembangan
34,APII,Arita Prima Indonesia Tbk.,1.075.760.000,Pengembangan
35,APLI,Asiaplast Industries Tbk.,1.362.671.400,Pengembangan
36,APLN,Agung Podomoro Land Tbk.,22.699.326.779,Utama
37,ARGO,Argo Pantes Tbk,3.174.339.029,Pengembangan
38,ARII,Atlas Resources Tbk.,3.431.000.000,Pengembangan
39,ARNA,Arwana Citramulia Tbk.,7.341.430.976,Utama
40,ARTA,Arthavest Tbk,446.674.175,Pemantauan Khusus
41,ARTI,Ratu Prabu Energi Tbk,7.840.000.000,Pemantauan Khusus
42,ARTO,Bank Jago Tbk.,13.718.448.700,Utama
43,ASBI,Asuransi Bintang Tbk.,348.386.472,Pengembangan
44,ASDM,Asuransi Dayin Mitra Tbk.,384.000.000,Pengembangan
45,ASGR,Astra Graphia Tbk.,1.348.780.500,Utama
46,ASII,Astra International Tbk.,40.483.553.140,Utama
47,ASJT,Asuransi Jasa Tania Tbk.,1.400.000.000,Pengembangan
48,ASMI,Asuransi Maximus Graha Persada,8.958.380.460,Pemantauan Khusus
49,ASRI,Alam Sutera Realty Tbk.,19.649.411.888,Utama
50,ASRM,Asuransi Ramayana Tbk.,1.217.135.360,Pengembangan
51,ASSA,Adi Sarana Armada Tbk.,3.691.137.517,Utama
52,ATIC,Anabatic Technologies Tbk.,2.315.361.355,Pengembangan
53,AUTO,Astra Otoparts Tbk.,4.819.733.000,Utama
54,BABP,Bank MNC Internasional Tbk.,44.014.333.126,Pengembangan
55,BACA,Bank Capital Indonesia Tbk.,19.753.494.636,Utama
56,BAJA,Saranacentral Bajatama Tbk.,1.800.000.000,Pengembangan
57,BALI,Bali Towerindo Sentra Tbk.,3.934.592.500,Utama
58,BAPA,Bekasi Asri Pemula Tbk.,661.784.520,Pengembangan
59,BATA,Sepatu Bata Tbk.,1.300.000.000,Pengembangan
60,BAYU,Bayu Buana Tbk,353.220.780,Pengembangan
61,BBCA,Bank Central Asia Tbk.,122.042.299.500,Utama
62,BBHI,Allo Bank Indonesia Tbk.,21.512.953.877,Utama
63,BBKP,Bank KB Bukopin Tbk.,185.819.884.852,Utama
